ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes,Depends_On,Owner
ID0,Ideation,Research ideation (optional),"5W1H analysis + gap identification + research question definition; document in notes/ideation.md",0,N/A,Ideation doc exists with clear RQ and gap statement,TODO,0,Optional; skip if RQ is already defined,,BOTH
R1,Research,Literature discovery,"Search strategy + collect candidate papers; verify relevance and recency (60%+ last 3 years)",0,N/A,Candidate list with 40+ papers; search terms documented,TODO,0,Record search queries and databases used,,AI
R2,Research,Framework skeleton + Figure 1 draft,"Build method framework; draft Figure 1 (method overview or teaser); propose section outline",0,Figure 1 draft,Figure 1 concept approved; outline consistent with contributions,TODO,0,Stop for user approval after Figure 1 + outline,R1,AI
E1,Evidence,Evidence pack assembly,"Generate per-section evidence packs from literature notes + ref.bib",0,N/A,evidence-packs/ contains one JSON per section; citation budgets set,TODO,0,Use `python3 scripts/evidence_pack.py --project-dir <paper_dir>`,R2,AI
W1,Writing,Abstract,"Write 150-250 word abstract: problem, approach, key result, impact",2,N/A,Abstract covers problem/method/result; within word limit; no unverified claims,TODO,0,Write last or revise after all sections done,E1,AI
W2,Writing,Introduction,"Motivate problem, state gap, list 2-4 contributions, include Figure 1, add paper roadmap",8,Figure 1,Claims cited; contributions match experiments; Figure 1 placed; roadmap present,TODO,0,Figure 1 is critical for first impression,E1,AI
W3,Writing,Related Work,"Position against prior work; organize by theme or timeline; identify the gap this paper fills",12,N/A,All claims cited; fair comparison; gap clearly stated; no missing key references,TODO,0,Group by subtopic; cite both classic and recent work,E1,AI
W4,Writing,Method,"Formal problem setup, proposed approach, algorithm/model details, theoretical justification if applicable",5,Method diagram,Method is clear and reproducible; notation consistent; diagram matches text,TODO,0,Include pseudocode or algorithm block if applicable,E1,AI
W5,Writing,Experiments,"Setup (datasets/metrics/baselines/hyperparams), main results table, ablation studies, analysis",8,Results table + ablation plot,All numbers verified; baselines fairly compared; ablations justify design choices,TODO,0,Do not fabricate results; flag missing experiments,E1,AI
W6,Writing,Discussion + Limitations + Conclusion,"Discuss findings, failure cases, scope boundaries, societal impact (if required), future work, summary",3,N/A,Limitations are honest; conclusion matches contributions; required sections present per venue,TODO,0,Check venue CFP for required subsections (broader impact/ethics),W2;W3;W4;W5,AI
A1,Writing,Anti-AI writing scan + rewrite,"Scan all sections for AI-typical phrases and patterns; rewrite flagged passages",0,N/A,No AI-flagged vocabulary remains; rhythm varies; no formulaic structures,TODO,0,See references/writing-style.md Anti-AI Writing Discipline section,W6,AI
I1,Integrity,Pre-review integrity gate,"Run privacy scan + BibTeX audit + claim registry sample (Stage 2.5)",0,N/A,`integrity_gate.py --stage pre-review` passes; no blocker verdicts,TODO,0,Use `python3 scripts/integrity_gate.py --project-dir <paper_dir> --stage pre-review`; see `references/integrity-verification.md`,A1,AI
SR1,SelfReview,Paper self-review (5 dimensions),"Self-review on: novelty, clarity, soundness, significance, reproducibility; score each 1-5 and list weaknesses",0,N/A,All 5 dimensions scored; weaknesses converted to actionable issue rows,TODO,0,Be honest; simulate a skeptical reviewer,I1,AI
SL1,SelfReview,Logic selfloop,"Check paragraph linkage and topic coherence within each section",0,N/A,`logic_selfloop.py` PASS; no paragraph islands,TODO,0,Use `python3 scripts/logic_selfloop.py --project-dir <paper_dir>`,I1,AI
SL2,SelfReview,Argument selfloop,"Verify claim-evidence chains; no orphan claims or unsupported passages",0,N/A,`argument_selfloop.py` PASS,TODO,0,Use `python3 scripts/argument_selfloop.py --project-dir <paper_dir>`,I1,AI
SL3,SelfReview,Voice selfloop,"Detect generator/planner voice leaks and opener monotony",0,N/A,`voice_selfloop.py` PASS; zero forbidden patterns,TODO,0,Use `python3 scripts/voice_selfloop.py --project-dir <paper_dir>`,I1,AI
PR1,Review,Paper review Round 1,"Multi-role review: technical soundness + experimental rigor + writing clarity; convert blockers into issue rows",0,N/A,Review completed; new issue rows inserted; blockers tracked,TODO,0,Auto-generated by reviewer loop; do not fabricate results,SL1;SL2;SL3,AI
PR2,Review,Paper review Round 2,"Camera-ready review: clarity + related work completeness + layout/figures + citations",0,N/A,No major blockers remain; compile passes; all figures readable,TODO,0,Stop iterating when only minor issues remain,PR1,AI
RF1,Refinement,Rhythm refinement,"Refine prose section-by-section: cut fillers, vary sentence lengths, fix voice leaks. Apply writing-style.md + anti-ai-writing.md guidelines",0,N/A,All sections refined; citations preserved; fillers removed; voice_selfloop + anti_ai_scan --strict pass,TODO,0,Run only after all writing issues are DONE; see references/writing-style.md and references/anti-ai-writing.md,PR2,AI
Q1,QA,Conference checklist compliance,"Verify venue-specific requirements: page limit, anonymization, supplementary format, required sections (limitations/impact/ethics/checklist)",0,N/A,All venue requirements met; checklist items checked,TODO,0,Download official checklist from venue website,RF1,AI
Q2,QA,Final integrity gate,"100% claim verification + strict BibTeX audit (Stage 4.5)",0,N/A,`integrity_gate.py --stage final` passes; zero blockers,TODO,0,Run right before final delivery,Q1,AI
Q3,QA,Process record (optional),"Generate `notes/process-record.md` + fill collaboration quality table",0,N/A,process-record exists; scores filled if requested,TODO,0,Use `python3 scripts/process_record.py --project-dir <paper_dir>`,Q2,AI
SL4,Slides,Slide material analysis + needs interview,"Read paper main.tex; ask duration + audience + content scope (Phase 0-1)",0,N/A,Interview completed; slide count and scope confirmed,TODO,0,See `references/beamer-workflow.md` Phase 0-1,,BOTH
SL5,Slides,Slide structure plan,"Produce detailed outline: section titles + slide count + content points + planned TikZ (Phase 2)",0,N/A,User approved structure plan,TODO,0,GATE: do NOT draft until user approves,SL4,AI
