ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes,Depends_On,Owner
R1,Research,Codebase snapshot,Generate notes/codebase-snapshot.md from the provided codebase directory,0,Module map,Snapshot file exists; key modules/entrypoints/deps summarized,TODO,0,Do not guess; ground everything in repository files,,AI
R2,Research,Outline + titles,Propose 2-4 titles and a section outline grounded in the snapshot,0,N/A,Outline is consistent with snapshot; no prose in main.tex,TODO,0,Stop for user approval after outline,R1,AI
E1,Evidence,Evidence pack assembly,"Generate per-section evidence packs from literature notes + ref.bib",0,N/A,evidence-packs/ contains one JSON per section; citation budgets set,TODO,0,Use `python3 scripts/evidence_pack.py --project-dir <paper_dir>`,R2,AI
W1,Writing,Introduction,"Write intro: context, problem, contributions (evidence-backed)",3,N/A,Claims cite frameworks or sources when needed; matches approved outline,TODO,0,"Prefer concrete, verifiable statements",E1,AI
W2,Writing,System Overview,"Describe high-level architecture + add an overview diagram",1,Architecture diagram,Diagram matches codebase; components named consistently; compiles,TODO,0,Keep diagram readable in 2-column layout,E1,AI
W3,Writing,Architecture and Components,Detail major components (backend/frontend/workers/storage) and their responsibilities,2,Component table,Each component tied to real modules/files; no vague descriptions,TODO,0,Add a table mapping component→module path,E1,AI
W4,Writing,End-to-End Workflow,Describe the primary workflows and control/data flows,1,Sequence/dataflow,Flow is grounded in actual call graph or docs; edge paths noted,TODO,0,Add failure/retry branches where applicable,E1,AI
W5,Writing,Reliability/Safety/Observability,"Explain guardrails, logging/metrics, idempotency, privacy considerations",2,State machine,Concrete mechanisms referenced; limitations called out,TODO,0,Do not claim guarantees without evidence,E1,AI
W6,Writing,Evaluation,Report measured results or present an explicit evaluation plan,0,Latency/cost plot,Evaluation is honest; methodology reproducible; no fabricated numbers,TODO,0,"If no measurements, mark as plan and list missing artifacts",E1,AI
W7,Writing,Related Work,"Cite key frameworks and closest systems; position the project",8,Comparison table,All citations verified; table is accurate; scope is fair,TODO,0,Use verified BibTeX only,E1,AI
A1,Writing,Anti-AI writing scan + rewrite,"Scan all sections for AI-typical phrases and patterns; rewrite flagged passages",0,N/A,`anti_ai_scan.py` LOW severity (≤5 patterns),TODO,0,See references/writing-style.md Anti-AI Writing Discipline section,W1;W2;W3;W4;W5;W6;W7,AI
