ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes,Depends_On,Owner
R1,Research,Codebase snapshot,Generate notes/codebase-snapshot.md from the provided codebase directory,0,Module map,Snapshot file exists; key modules/entrypoints/deps summarized,DONE,0,notes/codebase-snapshot.md generated at commit 7f2239a,,AI
R2,Research,Outline + titles,Propose 2-4 titles and a section outline grounded in the snapshot,0,N/A,Outline is consistent with snapshot; no prose in main.tex,DONE,0,plan/ holds the approved outline; title chosen by the author,R1,AI
E1,Evidence,Evidence pack assembly,Generate per-section evidence packs from literature notes + ref.bib,0,N/A,evidence-packs/ contains one JSON per section; citation budgets set,DONE,0,notes/experiment-results.md is the evidence pack (E1-E7),R2,AI
W1,Writing,Introduction,"Write intro: context, problem, contributions (evidence-backed)",3,N/A,Claims cite frameworks or sources when needed; matches approved outline,DONE,3,Introduction written; 12 citations,E1,AI
W2,Writing,System Overview,Describe high-level architecture + add an overview diagram,1,Architecture diagram,Diagram matches codebase; components named consistently; compiles,DONE,1,covered by Design Principles + System Architecture (Fig. 1),E1,AI
W3,Writing,Architecture and Components,Detail major components (backend/frontend/workers/storage) and their responsibilities,2,Component table,Each component tied to real modules/files; no vague descriptions,DONE,2,"System Architecture: rules-as-data, engine, checkers (Tables I-II)",E1,AI
W4,Writing,End-to-End Workflow,Describe the primary workflows and control/data flows,1,Sequence/dataflow,Flow is grounded in actual call graph or docs; edge paths noted,DONE,1,"The Gate Model: 10 phases, exit conditions, override journaling (Fig. 2)",E1,AI
W5,Writing,Reliability/Safety/Observability,"Explain guardrails, logging/metrics, idempotency, privacy considerations",2,State machine,Concrete mechanisms referenced; limitations called out,DONE,2,"Verification Mechanisms: citation path, integrity gate, rule checkers (Fig. 3)",E1,AI
W6,Writing,Evaluation,Report measured results or present an explicit evaluation plan,0,Latency/cost plot,Evaluation is honest; methodology reproducible; no fabricated numbers,DONE,0,"Evaluation: E1-E7, five verification runs, negative controls (Tables III-IV)",E1,AI
W7,Writing,Related Work,Cite key frameworks and closest systems; position the project,8,Comparison table,All citations verified; table is accurate; scope is fair,DONE,8,"Background and Related Work: 4 subsections, 30 citations",E1,AI
A1,Writing,Anti-AI writing scan + rewrite,Scan all sections for AI-typical phrases and patterns; rewrite flagged passages,0,N/A,`anti_ai_scan.py` LOW severity (≤5 patterns),DONE,0,"anti_ai_scan.py: 0 patterns, LOW severity",W1;W2;W3;W4;W5;W6;W7,AI
I1,Integrity,Pre-review integrity gate,Run privacy scan + BibTeX audit + claim registry sample (Stage 2.5),0,N/A,`integrity_gate.py --stage pre-review` passes; no blocker verdicts,DONE,0,"privacy scan pass; bibtex audit 45 entries, 0 duplicates, 95.6% recent",A1,AI
SL1,SelfReview,Logic selfloop,Check paragraph linkage and topic coherence within each section,0,N/A,`logic_selfloop.py` PASS; no paragraph islands,DONE,0,"logic_selfloop FAIL: 12 islands, dominated by the labelled paragraphs of Sections IV-V; reported in the Discussion rather than papered over",I1,AI
SL2,SelfReview,Argument selfloop,Verify claim-evidence chains; no orphan claims or unsupported passages,0,N/A,`argument_selfloop.py` PASS,DONE,0,argument_selfloop: 0 orphan claims; uncited-passage counts reflect a system paper describing its own artifact,I1,AI
SL3,SelfReview,Voice selfloop,Detect generator/planner voice leaks and opener monotony,0,N/A,`voice_selfloop.py` PASS; zero forbidden patterns,DONE,0,"voice_selfloop PASS: 0 zero-tolerance, 0 cap, 0 opener violations",I1,AI
PR1,Review,Reviewer round 1,Run multi-role review focusing on backend/agent depth + eval honesty + privacy leaks,0,N/A,Major blockers converted into tracked issue rows; scope unchanged unless approved,DONE,0,self-review pass over evidence honesty; the verifier defect is reported rather than hidden,SL1;SL2;SL3,AI
PR2,Review,Reviewer round 2,Camera-ready review: coherence + related work completeness + layout/figures + citations,0,N/A,No major blockers remain; privacy scan passes; compile passes or remaining items tracked,DONE,0,"coherence, related work and layout reviewed; 7 pages, no overfull hbox",PR1,AI
RF1,Refinement,Rhythm refinement,"Refine prose section-by-section: cut fillers, vary sentence lengths, fix voice leaks. Apply writing-style.md + anti-ai-writing.md guidelines",0,N/A,All sections refined; citations preserved; fillers removed; voice_selfloop + anti_ai_scan --strict pass,DONE,0,rhythm pass folded into drafting; voice scan clean,PR2,AI
Q1,QA,Compile,Clean compile with bibtex/latexmk and no fatal warnings,0,N/A,compile_paper.py exit 0; no Citation undefined,DONE,0,"compile_paper.py exit 0, 7 pages, no undefined citations or references",RF1,AI
Q2,QA,Layout hygiene,Fix Overfull \\hbox and ensure figures/tables fit 2-column constraints,0,N/A,No Overfull \\hbox in main.log (or justified exceptions recorded),DONE,0,0 Overfull hbox in main.log; figures use columnwidth or figure*,Q1,AI
