ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes,Depends_On,Owner
R1,Research,<task>,<short description>,0,N/A,<acceptance>,TODO,0,Duplicate/split/insert rows as needed; add new IDs when scope grows; re-validate,,AI
E1,Evidence,Evidence pack assembly,"Generate per-section evidence packs from literature notes + ref.bib",0,N/A,evidence-packs/ contains one JSON per section; citation budgets set,TODO,0,Use `python3 scripts/evidence_pack.py --project-dir <paper_dir>`,R1,AI
W1,Writing,<section title>,<write this section per approved outline>,<n>,<viz>,<acceptance>,TODO,0,Duplicate/split/insert per section; add new IDs when scope grows; re-validate,E1,AI
A1,Writing,Anti-AI writing scan + rewrite,"Scan all sections for AI-typical phrases and patterns; rewrite flagged passages",0,N/A,`anti_ai_scan.py` LOW severity (≤5 patterns),TODO,0,Run `python3 scripts/anti_ai_scan.py --project-dir <paper_dir>`,W1,AI
I1,Integrity,Pre-review integrity gate,"Run privacy scan + BibTeX audit + claim registry sample (Stage 2.5)",0,N/A,`integrity_gate.py --stage pre-review` passes; no blocker verdicts,TODO,0,Use `python3 scripts/integrity_gate.py --project-dir <paper_dir> --stage pre-review`; see `references/integrity-verification.md`,A1,AI
PR1,Review,Paper review (Round 1),Multi-role review: technical soundness + structure + privacy; convert blockers into issues rows,0,N/A,Review completed; new issue rows inserted; blockers tracked,TODO,0,Auto-generated by reviewer loop; do not fabricate results,I1,AI
PR2,Review,Paper review (Round 2),Camera-ready review: clarity + related work + layout/citations; verify all fixes,0,N/A,No major blockers; privacy scan pass; compile OK or tracked,TODO,0,Auto-generated by reviewer loop,PR1,AI
SL1,SelfReview,Logic selfloop,"Check paragraph linkage and topic coherence within each section",0,N/A,`logic_selfloop.py` PASS; no paragraph islands,TODO,0,Use `python3 scripts/logic_selfloop.py --project-dir <paper_dir>`,PR2,AI
SL2,SelfReview,Argument selfloop,"Verify claim-evidence chains; no orphan claims or unsupported passages",0,N/A,`argument_selfloop.py` PASS,TODO,0,Use `python3 scripts/argument_selfloop.py --project-dir <paper_dir>`,PR2,AI
SL3,SelfReview,Voice selfloop,"Detect generator/planner voice leaks and opener monotony",0,N/A,`voice_selfloop.py` PASS; zero forbidden patterns,TODO,0,Use `python3 scripts/voice_selfloop.py --project-dir <paper_dir>`,PR2,AI
RF1,Refinement,Rhythm refinement,"Refine prose section-by-section: cut fillers, vary sentence lengths, fix voice leaks. Apply writing-style.md + anti-ai-writing.md guidelines",0,N/A,All sections refined; citations preserved; fillers removed; voice_selfloop + anti_ai_scan --strict pass,TODO,0,Run only after all writing issues are DONE; see references/writing-style.md and references/anti-ai-writing.md,SL1;SL2;SL3,AI
Q1,QA,<check>,<what to verify>,0,N/A,<acceptance>,TODO,0,Duplicate/split/insert per QA item; add new IDs when scope grows; re-validate,RF1,AI
I2,Integrity,Final integrity gate,"100% claim verification + strict BibTeX audit (Stage 4.5)",0,N/A,`integrity_gate.py --stage final` passes; zero blockers,TODO,0,Run right before final delivery,Q1,AI
Q2,QA,Process record (optional),Generate `notes/process-record.md` + fill collaboration quality table,0,N/A,process-record exists; scores filled if requested,TODO,0,Use `python3 scripts/process_record.py --project-dir <paper_dir>`,I2,AI
SL4,Slides,Slide material analysis + needs interview,"Read paper main.tex; ask duration + audience + content scope (Phase 0-1)",0,N/A,Interview completed; slide count and scope confirmed,TODO,0,See `references/beamer-workflow.md` Phase 0-1,,BOTH
SL5,Slides,Slide structure plan,"Produce detailed outline: section titles + slide count + content points + planned TikZ (Phase 2)",0,N/A,User approved structure plan,TODO,0,GATE: do NOT draft until user approves,SL4,AI
SL6,Slides,Slide drafting,"Write slides in batches of 5-10; telegraphic style; self-check density per batch (Phase 3)",0,TikZ diagrams,All slides drafted; notation consistent; density within bounds,TODO,0,Use `assets/template/beamer-preamble.tex`,SL5,AI
SL7,Slides,Slide quality loop,"Compile + self-review + score ≥90 + fix (max 3 rounds) (Phase 5)",0,N/A,Score ≥90; no overfull hbox >10pt; all citations resolve,TODO,0,Use `python3 scripts/compile_slides.py` and `validate_slides.py`,SL6,AI
SL8,Slides,Slide validation,"Run validate_slides.py; fix all VIOLATION and CRITICAL items",0,N/A,`validate_slides.py` reports PASS or PASS WITH WARNINGS,TODO,0,Use `python3 scripts/validate_slides.py --project-dir <slides_dir> --duration <min>`,SL7,AI
VD1,Video,Generate narration script,"Parse slides.tex frames and speaker notes into narration-script.json",0,N/A,narration-script.json exists with one entry per slide,TODO,0,Use `python3 scripts/generate_narration.py --project-dir <paper_dir>`,SL8,AI
VD2,Video,Synthesize TTS audio,"Synthesize per-slide TTS audio + manifest.json",0,N/A,All MP3 files generated; manifest.json has correct durations,TODO,0,Use `python3 scripts/synthesize_tts.py --project-dir <paper_dir>`; requires GPU or --api-url; see references/video-workflow.md,VD1,AI
VD3,Video,Scaffold Remotion project,"Convert PDF to PNG + copy Remotion template + generate props.json + npm install",0,N/A,slides/video/remotion/ exists with props.json and node_modules/,TODO,0,Use `python3 scripts/scaffold_video.py --project-dir <paper_dir>`,VD2,AI
VD4,Video,Render video,"Run Remotion render to produce presentation.mp4",0,N/A,presentation.mp4 exists; H.264 1920x1080 30fps,TODO,0,Use `python3 scripts/render_video.py --project-dir <paper_dir>`,VD3,AI
VD5,Video,Validate video,"Check resolution + audio track + duration + file size",0,N/A,`validate_video.py` PASS; notes/video-validation.md generated,TODO,0,Use `python3 scripts/validate_video.py --project-dir <paper_dir>`,VD4,AI
