ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes,Depends_On,Owner
R1,Research,Discovery and citation harvest,"Search arXiv for the landmark papers behind each of the four scaling levers; fetch BibTeX by arXiv ID, never by hand",8,N/A,ref.bib holds 8 entries with no PLACEHOLDER_ prefix; every entry reproducible from an arXiv ID,DONE,8,"Fetched with arxiv_registry.py fetch-bibtex. DBLP title search was tried first and returned a wrong match for ""Adam"", which is why lookup is by ID here.",,AI
E1,Evidence,Evidence pack assembly,"Map each of the four levers to the citations that support it, before any prose is written",8,N/A,Each outline section has at least one citation assigned,DONE,8,"Trivial at this size; the mapping lives in the plan outline rather than in a separate evidence-packs/ directory.",R1,AI
W1,Writing,Introduction,"Frame the scaling question and name the four levers the review covers",2,N/A,Reader knows the scope and what is out of scope by the end of paragraph two,DONE,2,"Stage 1 outline then Stage 2 prose, per references/writing-style.md.",E1,AI
W2,Writing,Architecture and optimization,"Residual connections and adaptive optimization as the two things that made depth trainable",3,timeline figure,"Explains the trade-off each made, not just the headline result",DONE,3,"Figure fig:timeline is a TikZ timeline; no external image file, so nothing to break on a clean checkout.",W1,AI
W3,Writing,Pre-training and transfer,"The shift from task-specific training to pre-train-then-adapt",3,comparison table,"Table contrasts the four levers on what they changed and what they cost",DONE,3,"Table is hand-built with booktabs and p{} columns rather than resizebox, per the layout hygiene rules in SKILL.md.",W1,AI
W4,Writing,Efficient adaptation and limitations,"Why full fine-tuning stopped being affordable; then state honestly what eight citations cannot support",1,N/A,Limitations section names the coverage gap explicitly,DONE,1,"The Limitations section is not decoration: format_gate.py checks for it at venues that mandate it.",W3,AI
A1,Writing,Anti-AI writing scan,"Scan every section for AI-typical phrasing and rewrite what it flags",0,N/A,anti_ai_scan.py reports LOW severity,DONE,0,Run: python scripts/anti_ai_scan.py --project-dir examples/minimal-review-paper,W4,AI
V1,Integrity,Citation verification,"Confirm every citation key in main.tex resolves to a verified ref.bib entry and that no claim overstates its source",8,N/A,verify_citations.py reports no unresolved or unverified keys,DONE,8,Run: python scripts/verify_citations.py --project-dir examples/minimal-review-paper,A1,AI
V2,Integrity,Privacy and anonymity scan,"Confirm no secrets, absolute local paths, or author identity leaked into the sources",0,N/A,paper_privacy_scan.py and anonymity_check.py both clean,DONE,0,"arXiv is not double-blind, so anonymity_check is run here as a demonstration rather than as a requirement.",V1,AI
Q1,QA,Compile and page count,"Compile to PDF with no undefined citations and no overfull hbox",0,N/A,"compile_paper.py exits 0; no ""Citation undefined"" in the log",DONE,0,Run: python scripts/compile_paper.py --project-dir examples/minimal-review-paper,V2,AI
Q2,QA,Format gate against a real venue,"Run format_gate.py with --venue neurips to show what the gate reports for a paper not written for NeurIPS",0,N/A,Gate output is understood and its FAILs are expected and explained in the plan,DONE,0,"Expected result: FAIL on the missing Broader Impact section and the missing style file. That is the correct answer, not a bug.",Q1,HUMAN
Q3,QA,arXiv packaging,"Build the submission tarball and read the generated report",0,N/A,"submission.tar.gz builds with no blocking problems; .bbl is embedded",DONE,0,"Run: python scripts/arxiv_package.py --project-dir examples/minimal-review-paper --dry-run. The tarball itself is not committed.",Q2,AI
